Type,TypeEn,Message,Choice,Euro,Icon
Διαφήμιση,Αdvertisement,Για να είναι η μέρα σου ωραία Oreo!,Πουλησε την για 20 Ευρώ,20,oreo.jpeg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Διαφήμιση,Αdvertisement,11888 Σούπερ Αριθμός,Πουλησε την για 20 Ευρώ,20,enteka.jpg
Φιλανθρωπία,Charity,Αλληλεγγύη για όλους, Πλήρωσε 250 Ευρώ στο Jackpot,250,voitheia.jpg
Φιλανθρωπία,Charity,Βοήθησε τους Γιατρούς χωρίς σύνορα, Πλήρωσε 200 Ευρώ στο Jackpot,200,doctor.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 250 Ευρώ για το Ενοίκιο, Κράτα το Λογαριασμό,250,enoikio.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 1000 Ευρώ για τη δόση του Στεγαστικού Δανείου, Κράτα το Λογαριασμό,1000,daneio.jpg
Φιλανθρωπία,Charity,Διάσωση χελώνας Καρέτα-Καρέτα, Πλήρωσε 50 Ευρώ στο Jackpot,50,caretta.jpg
Εξόφληση Λογαριασμού,Bill,Πληρωμή 50 Ευρώ για τον Λογαριασμο Τηλεφώνου, Κράτα το Λογαριασμό,50,cosmote.jpg
Φιλανθρωπία,Charity,Σώσε το Περιβάλλον-Greenpeace, Πλήρωσε 250 Ευρώ στο Jackpot,250,greenpeace.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Ο γείτονας πουλάει λαχνούς,Πλήρωσε 100 Ευρώ στον αντίπαλο,100,laxnoi.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Δώσε πίσω τα δανεικά που σου έδωσε ο γείτονας για να αγοράσεις Laptop,Πλήρωσε 1250 Ευρώ στον αντίπαλο,1250,laptop.jpg
Πλήρωσε τον γείτονα,PayTheNeighbor,Ο γείτονας παίρνει πτυχίο,Πλήρωσε 100 Ευρώ στον αντίπαλο,100,ptyxio.jpg
Διαφήμιση,Αdvertisement,Βαριέσαι στα διαλείμματα δες λιγο ΤικΤοκ,Πουλησε την για 20 Ευρώ,20,tiktok.png
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Φιλανθρωπία,Charity,Βοήθησε τη Unicef, Πλήρωσε 300 Ευρώ στο Jackpot,300,unicef.png
Φιλανθρωπία,Charity,Όλοι μαζί μπορούμε, Πλήρωσε 350 Ευρώ στο Jackpot,350,mporoume.jpg
Διαφήμιση,Αdvertisement,Άσε το Θείο Διάβασε Java,Πουλησε την για 20 Ευρώ,20,theios.jpg
Διαφήμιση,Αdvertisement,Java... Ποια Amstel?,Πουλησε την για 20 Ευρώ,20,amstel.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Διαφήμιση,Αdvertisement,Δες Netflix άσε την σχολή,Πουλησε την για 20 Ευρώ,20,netflix.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
Διαφήμιση,Αdvertisement,29 κατασκευαστές πλυντηρίων συνιστούν Skip,Πουλησε την για 20 Ευρώ,20,skip.png
Πάρε λεφτά από το γείτονα,MadMoney,Πάρε πίσω τα δανεικά που έδωσες στο γείτονα για να αγοράσει μηχανή,Πάρε 1300 Ευρώ από τον αντίπαλο,1300,honda.jpg
Φιλανθρωπία,Charity,Προστασία της άγριας ζωής- Αρκτούρος, Πλήρωσε 150 Ευρώ στο Jackpot,150,arktouros.jpg
Μετακίνηση σε θέση Συμφωνίας/Αγοραστή,MoveToDealBuyer,Πηγαίνετε στην επόμενη θέση Συμφωνίας/Αγοραστή, Εντάξει,0,db.jpg
